metric,value,n_samples,n_features,training_time_seconds
R2_log,0.020251180198918917,31688,384,0.7622334957122803
MAE_log,0.6962986019314006,31688,384,0.7622334957122803
RMSE_log,0.9196408582891633,31688,384,0.7622334957122803
MAE_original,2426.6958625735147,31688,384,0.7622334957122803
RMSE_original,10028.497449091552,31688,384,0.7622334957122803
