cluster_id,n_samples,n_features,accuracy,precision,recall,f1_score
0,4492,20,1.0,1.0,1.0,1.0
1,3203,20,1.0,1.0,1.0,1.0
2,2813,20,1.0,1.0,1.0,1.0
3,3734,20,1.0,1.0,1.0,1.0
4,1807,20,1.0,1.0,1.0,1.0
5,3493,20,1.0,1.0,1.0,1.0
6,1945,20,1.0,1.0,1.0,1.0
7,1942,20,1.0,1.0,1.0,1.0
8,3447,20,1.0,1.0,1.0,1.0
9,4812,20,0.9997921862011637,0.9995835068721366,1.0,0.9997917100604041
